กรอบ	kr @@ p^
นี้่ิ	n ii
นึง	n v ng^
น่า	n aa
น้ำ	n aa m^
น้ำตาล	n aa m^ t aa n^
น้ำปลา	n aa m^ pl aa
บน	b o n^
บริการ	b @@ r i k aa n^
บรูซ	b @@ r uu t^
บลีช	bl ii t^
บอก	b @@ k^
บัญชี	b a n^ ch ii
บัตร	b a t^
บัว	b uua
บาท	b aa t^
บิงซู	b i ng^ s uu
บิล	b q n^
บิวตี้	b i w^ t ii
บี	b ii
บีทีเอส	b ii th ii z ee t^
บีสต์	b ii t^
บุฟเฟต์	b u f f
บ่าย	b aa j^
บ้าง	b aa ng^
บ้าน	b aa n^
บ๊ายบาย	b aa j^ b aa j^
ปฎิทิน	p a d i th i n^
ประชาสัมพันธ์	pr a ch aa s a m^ ph a n^
ประชุม	pr a ch u m^
ประดับ	pr a d a p^
ประทับ	pr a th a p^
ประมาณ	pr a m aa n^
ประวัติ	pr a w a t^
ประเภท	pr a ph ee t^
ปลั๊ก	pl a o k^
ปลุก	pl u k^
ปะ	p a
ปัง	p a ng^
ปังเย็น	p a ng^ j e n^
ปาร์ค	p aa k^
ปาร์ตี้	p aa t^ ii
ปิด	p i t^
ปิ้ง	p i ng^
ปี	p ii
ป๊อปคอร์น	p o pr kh @@ o n^
ผม	ph o m^
ผลไม้	ph o n^ l a m aa j^
ผักกาด	ph a k^ k aa t^
ผัด	ph a t^
ผัดซีอิ๊ว	ph a t^ s ii z i o w^
ผู้ใหญ่	ph uu j a j^
ผ่าน	ph aa n^
ผ้า	ph aa
ฝน	f o n^
ฝาก	f aa k^
พร	ph @@ n^
พรจากฟ้า	phr c aa k^ f aa
พระเกี้ยว	phr a k iia w^
พริก	phr i k^
พริกไทย	phr i k^ th a j^
พรีวิเลจ	phr ii w i l t^
พรีเมี่ยม	phr ii m iia m^
พรุ่ง	phr u ng^
พรุ่งนี้	phr u ng^ n ii
พฤหัส	ph a r v h a t^
พอ	ph @@
พอส	ph @@ t^
พะโล้	ph a l xx
พัก	ph a k^
พากย์	ph aa k^
พาณิชย์	ph aa n i t^
พารากอน	ph aa r aa k @@ n^
พาราโบลา	ph aa r aa b oo l aa
พิกัด	ph i k a t^
พิการ	ph i k aa n^
พิเศษ	ph i s ee t^
พุธ	ph u t^
พูด	ph uu t^
ฟรี	fr ii
ฟรุตตี้	fr u t^ t ii
ฟัง	f a ng^
ฟันขาว	f a n^ kh aa w^
ฟิตเนส	f i t^ t a n ee t^
ฟิฟตี้	f i f t ii
ฟ้า	f aa
ภาค	ph aa k^
มรณะ	m a r a n a
มหิต	m a h i t^
มะม่วง	m a m uua ng^
มะรืน	m a r vv n^
มักโรนี	m a k^ r oo n ii
มังสวิรัติ	m a ng^ s a w i r a t^
มัน	m a n^
มั้ย	m a
มา	m aa
มาก	m aa k^
มาบุญครอง	m aa b u n^ khr @@ ng^
มาม่า	m aa m a w^
มาย	m aa j^
มารูน	m aa r uu n^
มิติ	m i t i
มิยาบิ	m i j aa b i
มี	m ii
มีนา	m ii n aa
มื้อ	m vv
มูฟวี่	m uu f w ii
ม้้ย	m
ย	qq j^
ยกเลิก	j o k^ l qq k^
ยักษ์	j a k^
ยัง	j a ng^
ยังไง	j a ng^ ng a j^
ยา	j aa
ยาว	j aa w^
ยาโยอิ	j aa j oo z i
ยิน	j i n^
ยี่	j ii
ยี่สิบ	j ii s i p^
ยืนยัน	j vv n^ j a n^
ยู	j uu
ย่อ	j @@
ย่าง	j aa ng^
ย้าย	j aa j^
รถ	r o t^
รส	r o t^
รหัส	r a h a t^
รอ	r @@
รองเท้า	r @@ ng^ th aa w^
รอบ	r @@ p^
ระหว่าง	r a w aa ng^
รัก	r a k^
รับ	r a p^
ราคา	r aa kh aa
รางวัล	r aa ng^ w a n^
ราย	r aa j^
รายการ	r aa j^ k aa n^
รายงาน	r aa j^ ng aa n^
รายชื่อ	r aa j^ ch vv
รายได้	r aa j^ d aa j^
ริม	r i m^
ริฮันนา	r i h a n^ n aa
รีบ	r ii p^
รีวิว	r ii w i w^
รึยัง	r v j a ng^
รุจิศรี	r u c i s ii
ร้อง	r @@ ng^
ร้อย	r @@ j^
ร้าน	r aa n^
ลด	l o t^
ลบ	l o p^
ลวก	l uua k^
ลอย	l @@ j^
ละ	l a
ละหมาด	l a m aa t^
ลา	l aa
ลางาน	l aa ng aa n^
ลาน	l aa n^
ลิฟท์	l i f
ลิโด้	l i d a j^
ลืม	l vv m^
ลุก	l u k^
ลุง	l u ng^
ลูก	l uu k^
ล็อบสเตอร์	l e @@ p^ s a t qq
ล่วง	l uua ng^
ล่า	l aa
ล่าสุด	l aa s u t^
วอล	w @@ n^
วอล์ค	w @@ w^ k^
วัตถุดิบ	w a t^ th u d i p^
วัน	w a n^
วันที่	w a n^ th ii
วันนี้	w a n^ n ii
วันศุกร์	w a n^ s u k^
วันหยุด	w a n^ j u t^
วันเสาร์	w a n^ s a w^
วันไหน	w a n^ n a j^
วาน	w aa n^
วานซืน	w aa n^ s vv n^
วิธี	w i th ii
วิธีทำ	w i th ii th a m^
วินาที	w i n aa th ii
วิฟ	w i f^
วิลลิส	w i n^ l i t^
วิศวะ	w i t^ s a w a
ว่า	w aa
ว่าง	w aa ng^
ศาลา	s aa l aa
ศิลปิน	s i n^ l a p i n^
ศุกร์	s u k^
ศูนย์	s uu n^
สกาย	s a k aa j^
สคิป	s a kh i p^
สตางค์	s a t aa ng^
สตาร์บัค	s a t aa b a k^
สตาร์วอร์	s a t aa w @@
สต็อป	s a t @ p^
สถานี	s a th aa n ii
สน	s o n^
สมัคร	s a m a k^
สมาชิก	s a m aa ch i k^
สยอง	s a j @@ ng^
สยาม	s a j aa m^
สระ	s a r a
สร้าง	s aa ng^
สวิฟ	s a w i f^
สวีท	s a w ii t^
สอง	s @@ ng^
สอน	s @@ n^
สอบ	s @@ p^
สะสาง	s a s aa ng^
สัก	s a k^
สับ	s a p^
สัปดาห์	s a p^ d aa
สั่ง	s a ng^
สาขา	s aa kh aa
สาม	s aa m^
สามย่าน	s aa m j aa n^
สาย	s aa j^
สำหรับ	s a m^ r a p^
สิงหา	s i ng^ h aa
สิบ	s i p^
สิบเอ็ด	s i p^ z e t^
สิ้น	s i n^
สี่	s ii
สุกี้	s u k ii
สุด	s u t^
สุดท้าย	s u t^ th aa j^
สุภาพ	s u ph aa p^
สุ่ม	s u m^
สูง	s uu ng^
สูตร	s uu t^
สเตย์	s a t ee
สเต็ก	s a t e k^
สแควร์	s khw
ส่ง	s o ng^
ส่วน	s uua n^
ส้ม	s e m^
ส้มตำ	s e m^ t a m^
หก	h o k^
หนัง	n a ng^
หนังสือ	n a ng^ s vv
หนี	n ii
หนึ่ง	n v ng^
หน่อย	n @ j^
หน้า	n aa
หมด	m o t^
หมอ	m @@
หมู	m uu
หมูสับ	m uu s a p^
หยุด	j u t^
หรือ	r vv
หลัง	l a ng^
หลับ	l a p^
หวาน	w aa n^
หอ	h @@
หอย	h @@ j^
หา	h aa
หาย	h aa j^
ห่าง	h aa ng^
ห้อง	h @ ng^
ห้า	h aa
ห้าม	h aa m^
อกหัก	z o k^ h a k^
อด	z o t^
อยาก	j aa k^
อยู่	j uu
อย่า	j aa
อย่าง	j aa ng^
อย่างไร	j aa ng^ r a j^
อร่อย	z a r @ j^
ออก	z @@ k^
ออฟ	z @@ f^
ออสการ์	z @@ s oo k aa
อะ	z a
อะไร	z a r a j^
อะไรวอล	z a r a w @ n^
อักษร	z a k^ s @@ n^
อังคาร	z a ng^ kh aa n^
อันดับ	z a n^ d a p^
อันเดอร์วอเตอร์เวิล์ด	z a n^ d @@ w @@ t qq w qq t^
อัลบั้ม	z a n^ b a m^
อาทิตย์	z aa th i t^
อาบ	z aa p^
อาย	z aa j^
อายุ	z aa j u
อาหาร	z aa h aa n^
อินเซปชั่น	z i n^ s p^ ch a n^
อีก	z ii k^
อีกรอบ	z ii kr @@ p^
อีเมล	z ii m o n^
อีเมล์	z ii m ee
อื่น	z vv n^
อุปกรณ์	z u p^ p a k @@ n^
อเมซอน	z a m ee s @@ n^
อ่าน	z aa n^
อ้อม	z @@ m^
อ้อย	z @@ j^
อ้าว	z aa w^
ฮันนี่มูน	h a n^ n ii m uu n^
ฮาจิบัง	h aa c i b a ng^
เกลือ	kl vva
เกาหลี	k a w^ l ii
เกาเหลา	k a w^ l aa
เกิน	k qq n^
เกี่ยว	k iia w^
เก้า	k a w^
เขต	kh ee t^
เขียน	kh iia n^
เขียว	kh iia w^
เข้า	kh a w^
เครดิต	khr ee d i t^
เครป	khr ee p^
เครือ	khr vva
เครื่อง	khr vva ng^
เคลียร์	khl iia
เคเอฟซี	kh ee z x s ii
เงิน	ng q n^
เงียบ	ng iia p^
เจฟเฟอร์	c ee p^ f @@
เจียว	c iia w^
เจ็ด	c e t^
เจ้า	c a w^
เจ๊	c ee o
เชดส์	ch ee t^
เชพ	ch o p^
เชื่อม	ch vva m^
เช็ค	ch e k^
เช่า	ch a w^
เช้า	ch aa w^
เซ	s
เซงเซียมอี๊	s e ng^ s iia m^ z ii o
เซนเตอร์	s e n^ t qq
เซอเคิล	s @@ kh i n^
เซเว่น	s oo w xx n^
เซ็นทรัลเวิลด์	s e n^ s a n^ w qq w^
เดอะ	d q
เดือน	d vva n^
เด็ก	d e k^
เด็ด	d e t^
เตือน	t vva n^
เถอะ	th q
เทค	th e k^
เทพ	th ee p^
เที่ยง	th iia ng^
เทเลอร์	th ee l qq
เท่า	th a w^
เท่าไร	th a w^ r a j^
เท่าไหร่	th a w^ r a j^
เนย	n ee
เนี่ย	n iia
เนื้อ	n vva
เบอร์	b qq
เบา	b a w^
เปรี้ยว	pr iia w^
เปลี่ยน	pl iia n^
เปล่า	pl aa w^
เปอร์เซ็นต์	p qq s e n^
เปิด	p qq t^
เป็น	p e n^
เพลง	phl ee ng^
เพลย์ลิส	phl ee l i t^
เพลลิสต์	ph e n^ l i t^
เพลิง	phl qq ng^
เพิ่ม	ph qq m^
เพื่อน	ph vva n^
เฟ้ย	f
เมนู	m a n uu
เมล์	m ee
เมื่อ	m vva
เมื่อคืน	m vva kh vv n^
เมื่อวาน	m vva w aa n^
เมื่อไหร่	m vva r a j^
เมเจอร์	m ee c @@
เยส	j ee t^
เยอะ	j q
เย็น	j e n^
เย็นนี้	j e n^ n ii
เรด	r o t^
เรตติ้ง	r ee t^ t i ng^
เรา	r a w^
เริ่ม	r qq m^
เรียก	r iia k^
เรียง	r iia ng^
เรียน	r iia n^
เรียนพิเศษ	r iia n^ ph i s ee t^
เรือ	r vva
เรื่อง	r vva ng^
เร็ว	r e w^
เลย	l qq j^
เลิก	l qq k^
เลิฟ	l qq f^
เลี้ยง	l iia ng^
เลื่อน	l vva n^
เลโก	l ee k oo
เล่น	l e n^
เวลา	w ee l aa
เววเวต	w ee w a w ee t^
เวียดนาม	w iia t^ n aa m^
เศรษฐศาสตร์	s ee t^ th a s aa t^
เสนอ	s a n qq
เสริมสวย	s qq m^ s uua j^
เสร็จ	s e t^
เสาร์	s a w^
เสียง	s iia ng^
เสือ	s vva
เส้น	s e n^
เหมือน	m vva n^
เหรอ	r qq
เหรียญ	r iia n^
เหลือ	l vva
เอ	z ee
เอง	z ee ng^
เอช	z ee t^
เอทีเอม	z ee th ii z o m^
เอน	z ee n^
เอฟ	z ee p^
เอฟเวอรี่ไทม์	z x w ee qq r ii th a m
เอมอาที	z ee m z aa th ii
เอส	z ee t^
เอา	z a w^
เอ็กซ์	z e k^ s
เอ็ด	z e t^
เอ็ม	z e m^
เอ็มเค	z e m^ kh ee
เฮท	h t^
แกง	k xx ng^
แคนท์	kh o n^
แคนเซิล	kh xx n^ s i n^
แคลอรี่	khl @@ r ii
แค่	kh xx
แค่ไหน	kh xx n a j^
แจ้ง	c xx ng^
แดง	d xx ng^
แต่ง	t x ng^
แถม	th xx m^
แถว	th xx w^
แท็กซี่	th x k^ s ii
แนว	n xx w^
แนะนำ	n x n a m^
แบบ	b xx p^
แบ็ทแมน	b e th m xx n^
แปด	p xx t^
แปป	p xx p^
แผนที่	ph xx n^ th ii
แพง	ph xx ng^
แพทย์	ph xx t^
แฟลช	f xx l^ t^
แรก	r xx k^
แรนดอม	r xx n^ d @ m^
แรนด้อม	r xx n^ d @@ m^
แลก	l xx k^
แลนด์	l xx n^
และ	l x
แล้ว	l xx w^
แว่น	w xx n^
แสดง	s a d xx ng^
แสตมป์	s a t xx m^
แห้ง	h xx ng^
แอนด์	z xx n^
แอม	z xx m^
แอมปาร์ค	z xx m^ aa k^
แอล	z xx l^
แอ็คชั่น	z e kh ch a n^
แฮรี่พอตเตอร์	h r ii ph @@ t a t qq
โกวาจี	k oo w aa c ii
โฆษณา	kh s a n aa
โจอี้บอย	c oo z ii b @ j^
โจ๊ก	c oo o k^
โซน	s oo n^
โซฟา	s oo f aa
โดน	d oo n^
โทร	th oo r a j^
โทรศัพท์	th oo r a s a p^
โบว์ลิ่ง	b oo w^ l i ng^
โปรด	pr oo t^
โปรเจค	pr oo c ee k^
โปรแกรม	pr oo kr x m^
โปรโมชัน	pr oo m oo ch a n^
โปรโมชั่น	pr oo m oo ch a n^
โฟร์	f oo
โมง	m oo ng^
โรง	r oo ng^
โรงหนัง	r oo ng^ n a ng^
โรตี	r oo t ii
โรแมนติก	r oo m xx n^ t i k^
โลแกน	l oo k xx n^
โอ	z oo
โอว	z oo w^
โอโตยะ	z oo t a j a
ใกล้	kl a j^
ใคร	khr a j^
ใจ	c a j^
ใช่	ch a j^
ใช้	ch a j^
ใต้	t aa j^
ใน	n a j^
ใส่	s a j^
ใหม่	m a j^
ให้	h a j^
ไกล	kl a j^
ไก่	k a j^
ไข่	kh a j^
ไง	ng a j^
ได้	d aa j^
ได้มั้ย	d aa j^ m a
ได้ไหม	d aa j^ m a j^
ไทย	th a j^
ไนท์	n^
ไป	p a j^
ไผ่	ph xx
ไผ่ทอง	ph th @@ ng^
ไฟ	f a j^
ไฟฟ้า	f a j^ f aa
ไฟว์	f a j^ oo
ไม่	m a j^
ไม่ว่าง	m a j^ w aa ng^
ไม้	m aa j^
ไร	r a j^
ไวไฟ	w a f a j^
ไส้	s a j^
ไหน	n a j^
ไหม	m a j^
ไหม้	m a j^
ไหร่	r a j^
ไห้	h aa j^
ไอ	z a j^
ไอติม	z a t i m^
ไอที	z th ii
ไอรอนแมน	z a r @@ n^ m xx n^
ไอเดีย	z a d iia
ไอแม็กซ์	z m e k^ s
